id,LSOA11CD,IMD,Income,Employment,Education,Housing,Environment
1,E01000842,12.21,6,6,1.84,29.63,33.4
2,E01000843,18.39,17,6,4.12,32.51,42.78
3,E01000844,13.26,6,5,6.55,27.22,44.4
4,E01000845,17.56,12,6,13.63,24.04,37.03
5,E01000846,28,29,11,2.9,25.8,46.73
6,E01000847,24.26,22,9,10.98,23.43,40.71
7,E01000848,11.98,8,4,3.68,25.36,40.63
8,E01000849,14.06,7,4,10.3,28.82,41.88
9,E01000850,18.05,7,4,14.67,27.76,63.2
10,E01000851,14.89,6,4,8.33,32.01,55.24
11,E01000852,19.33,9,6,9.41,31.19,51.34
12,E01000853,30.9,24,14,6.98,26.86,61.39
13,E01000854,23.06,14,7,12.52,33.37,44.75
14,E01000855,15,5,4,3.98,35.11,51.95
15,E01000856,33.53,26,12,7.46,27.7,53.27
16,E01000857,16.96,13,7,3.58,24.55,32.19
17,E01000858,43.37,36,17,16.19,29.27,39.89
18,E01000859,10,7,6,2.55,23.33,29.45
19,E01000860,23.17,19,10,11.22,32.21,31.45
20,E01000861,39.15,24,14,9.98,27.61,55.77
21,E01000862,9.58,3,4,1.86,23.81,36.68
22,E01000863,36.62,20,12,29.91,25.63,54.39
23,E01000864,21.74,15,9,4.38,26.85,33.32
24,E01000865,15.4,9,6,1.69,25.2,35.43
25,E01000866,30.79,21,14,7.49,24.99,49.87
26,E01000867,36.19,30,13,16.76,28.41,45.4
27,E01000868,36.93,29,17,20.11,40.19,25.27
28,E01000869,30.43,25,12,7.83,28.07,42.65
29,E01000870,36.06,24,14,13.25,26.73,55.21
30,E01000871,18.74,15,8,4.13,25.14,21.85
31,E01000872,28.47,18,10,10.33,29.21,45.95
32,E01000873,14.13,11,7,12.52,21.26,26.54
33,E01000874,8.38,5,3,1.21,20.19,38.07
34,E01000875,22.1,14,8,10.13,32.42,39.63
35,E01000876,30.97,27,12,15.22,31.41,26.43
36,E01000877,10.84,8,5,3.15,22.39,30.87
37,E01000878,13.64,9,4,11.86,24.78,29.58
38,E01000879,10.67,6,3,2.59,23.19,42.69
39,E01000880,10.06,4,2,3.07,26.61,32.5
40,E01000881,20.14,10,5,19.63,31.31,50.88
41,E01000882,9.58,4,3,0.39,23.35,41.4
42,E01000883,19.17,9,5,16.23,28.47,51.54
43,E01000884,11.71,6,5,3.39,31.29,24.16
44,E01000885,11.77,7,3,9.15,29.11,25.27
45,E01000886,13.51,10,7,3.14,23.03,34.94
46,E01000887,18.18,13,7,7.73,23.46,33.19
47,E01000888,20.04,15,9,5.61,23.2,38.28
48,E01000889,37.75,32,16,22.82,27.87,34.25
49,E01000890,46.54,39,22,28.66,28.85,25.5
50,E01000891,51.2,41,23,21.14,31.57,31.64
51,E01000892,22.69,19,10,12.43,22.57,26.7
52,E01000893,10.62,5,5,0.98,28.29,33.74
53,E01000894,7.73,3,3,1.1,20.68,29.11
54,E01000895,15.96,13,5,7.31,21.36,43.26
55,E01000896,8.7,4,4,1.16,21.06,37.16
56,E01000897,9.14,3,3,2.5,21.58,38.95
57,E01000898,23.68,20,10,10.57,26.86,17.37
58,E01000899,9.33,2,2,1.36,24.54,37.47
59,E01000900,31.5,24,12,18.19,23.08,40.23
60,E01000901,35.83,33,16,23.82,27.24,29.61
61,E01000902,35.89,34,14,11.55,30.99,38.81
62,E01000903,18.2,14,8,6.95,25.32,33.05
63,E01000904,42.74,34,16,23.46,23.85,43.13
64,E01000905,42.76,39,17,27.79,28.83,30.82
65,E01000906,14.68,10,6,6.27,28.53,32.69
66,E01000907,33.16,31,17,13.51,24.62,27.86
67,E01000908,33.96,25,15,10.4,31.76,64.73
68,E01000909,14.53,10,8,3.81,20.32,31.68
